home_team,away_team,home_goals,away_goals,date
Arsenal,Leicester,4,3,2017-08-11
Brighton,Man City,0,2,2017-08-12
Chelsea,Burnley,2,3,2017-08-12
Crystal Palace,Huddersfield,0,3,2017-08-12
Everton,Stoke,1,0,2017-08-12
Southampton,Swansea,0,0,2017-08-12
Watford,Liverpool,3,3,2017-08-12
West Brom,Bournemouth,1,0,2017-08-12
Man United,West Ham,4,0,2017-08-13
Newcastle,Tottenham,0,2,2017-08-13
Bournemouth,Watford,0,2,2017-08-19
Burnley,West Brom,0,1,2017-08-19
Leicester,Brighton,2,0,2017-08-19
Liverpool,Crystal Palace,1,0,2017-08-19
Southampton,West Ham,3,2,2017-08-19
Stoke,Arsenal,1,0,2017-08-19
Swansea,Man United,0,4,2017-08-19
Huddersfield,Newcastle,1,0,2017-08-20
Tottenham,Chelsea,1,2,2017-08-20
Man City,Everton,1,1,2017-08-21
Bournemouth,Man City,1,2,2017-08-26
Crystal Palace,Swansea,0,2,2017-08-26
Huddersfield,Southampton,0,0,2017-08-26
Man United,Leicester,2,0,2017-08-26
Newcastle,West Ham,3,0,2017-08-26
Watford,Brighton,0,0,2017-08-26
Chelsea,Everton,2,0,2017-08-27
Liverpool,Arsenal,4,0,2017-08-27
Tottenham,Burnley,1,1,2017-08-27
West Brom,Stoke,1,1,2017-08-27
Arsenal,Bournemouth,3,0,2017-09-09
Brighton,West Brom,3,1,2017-09-09
Everton,Tottenham,0,3,2017-09-09
Leicester,Chelsea,1,2,2017-09-09
Man City,Liverpool,5,0,2017-09-09
Southampton,Watford,0,2,2017-09-09
Stoke,Man United,2,2,2017-09-09
Burnley,Crystal Palace,1,0,2017-09-10
Swansea,Newcastle,0,1,2017-09-10
West Ham,Huddersfield,2,0,2017-09-11
Bournemouth,Brighton,2,1,2017-09-15
Crystal Palace,Southampton,0,1,2017-09-16
Huddersfield,Leicester,1,1,2017-09-16
Liverpool,Burnley,1,1,2017-09-16
Newcastle,Stoke,2,1,2017-09-16
Tottenham,Swansea,0,0,2017-09-16
Watford,Man City,0,6,2017-09-16
West Brom,West Ham,0,0,2017-09-16
Chelsea,Arsenal,0,0,2017-09-17
Man United,Everton,4,0,2017-09-17
Burnley,Huddersfield,0,0,2017-09-23
Everton,Bournemouth,2,1,2017-09-23
Leicester,Liverpool,2,3,2017-09-23
Man City,Crystal Palace,5,0,2017-09-23
Southampton,Man United,0,1,2017-09-23
Stoke,Chelsea,0,4,2017-09-23
Swansea,Watford,1,2,2017-09-23
West Ham,Tottenham,2,3,2017-09-23
Brighton,Newcastle,1,0,2017-09-24
Arsenal,West Brom,2,0,2017-09-25
Bournemouth,Leicester,0,0,2017-09-30
Chelsea,Man City,0,1,2017-09-30
Huddersfield,Tottenham,0,4,2017-09-30
Man United,Crystal Palace,4,0,2017-09-30
Stoke,Southampton,2,1,2017-09-30
West Brom,Watford,2,2,2017-09-30
West Ham,Swansea,1,0,2017-09-30
Arsenal,Brighton,2,0,2017-10-01
Everton,Burnley,0,1,2017-10-01
Newcastle,Liverpool,1,1,2017-10-01
Burnley,West Ham,1,1,2017-10-14
Crystal Palace,Chelsea,2,1,2017-10-14
Liverpool,Man United,0,0,2017-10-14
Man City,Stoke,7,2,2017-10-14
Swansea,Huddersfield,2,0,2017-10-14
Tottenham,Bournemouth,1,0,2017-10-14
Watford,Arsenal,2,1,2017-10-14
Brighton,Everton,1,1,2017-10-15
Southampton,Newcastle,2,2,2017-10-15
Leicester,West Brom,1,1,2017-10-16
West Ham,Brighton,0,3,2017-10-20
Chelsea,Watford,4,2,2017-10-21
Huddersfield,Man United,2,1,2017-10-21
Man City,Burnley,3,0,2017-10-21
Newcastle,Crystal Palace,1,0,2017-10-21
Southampton,West Brom,1,0,2017-10-21
Stoke,Bournemouth,1,2,2017-10-21
Swansea,Leicester,1,2,2017-10-21
Everton,Arsenal,2,5,2017-10-22
Tottenham,Liverpool,4,1,2017-10-22
Arsenal,Swansea,2,1,2017-10-28
Bournemouth,Chelsea,0,1,2017-10-28
Crystal Palace,West Ham,2,2,2017-10-28
Liverpool,Huddersfield,3,0,2017-10-28
Man United,Tottenham,1,0,2017-10-28
Watford,Stoke,0,1,2017-10-28
West Brom,Man City,2,3,2017-10-28
Brighton,Southampton,1,1,2017-10-29
Leicester,Everton,2,0,2017-10-29
Burnley,Newcastle,1,0,2017-10-30
Huddersfield,West Brom,1,0,2017-11-04
Newcastle,Bournemouth,0,1,2017-11-04
Southampton,Burnley,0,1,2017-11-04
Stoke,Leicester,2,2,2017-11-04
Swansea,Brighton,0,1,2017-11-04
West Ham,Liverpool,1,4,2017-11-04
Chelsea,Man United,1,0,2017-11-05
Everton,Watford,3,2,2017-11-05
Man City,Arsenal,3,1,2017-11-05
Tottenham,Crystal Palace,1,0,2017-11-05
Arsenal,Tottenham,2,0,2017-11-18
Bournemouth,Huddersfield,4,0,2017-11-18
Burnley,Swansea,2,0,2017-11-18
Crystal Palace,Everton,2,2,2017-11-18
Leicester,Man City,0,2,2017-11-18
Liverpool,Southampton,3,0,2017-11-18
Man United,Newcastle,4,1,2017-11-18
West Brom,Chelsea,0,4,2017-11-18
Watford,West Ham,2,0,2017-11-19
Brighton,Stoke,2,2,2017-11-20
West Ham,Leicester,1,1,2017-11-24
Crystal Palace,Stoke,2,1,2017-11-25
